strategy1,strategy2,r2_1,r2_2,r2_combined,adj_r2_combined,improvement,coef1,coef2,se_coef1,se_coef2,p_value_1,p_value_2,f_stat,f_p_value,p_improvement
CR,SR,0.040266618078342975,0.03890823572026059,0.051907330995970447,0.0439401657102223,0.011640712917627472,0.01577314896815533,0.0023933012594707145,0.008731699020175588,0.001400053061680864,0.07211529025716579,0.08867362712660243,6.515156788428062,0.0017589108486580907,0.0886736271266031
SU,GI,0.05251655148314638,0.026084312689894418,0.0640563804017179,0.056191307968118887,0.011539828918571526,0.02053093876567669,0.008799565628768912,0.006607133010935161,0.005136862192724694,0.0021168597071392625,0.08801047512312565,8.14441074033518,0.0003790642905943109,0.08801047512312432
ST,SR,0.06282483226951996,0.03890823572026059,0.07197090632418024,0.06417234251177839,0.00914607405466028,0.012622988135289153,0.0020157256486054787,0.00433496430822467,0.0013161530133104422,0.003933661276757094,0.12696696838129085,9.228738528718182,0.0001379842108493179,0.12696696838129284
OQ,ST,0.09701991790034781,0.06282483226951996,0.10610533482401696,0.09859361494858854,0.009085416923669154,0.012264424767492465,0.007087936958299455,0.00361289824568741,0.004557242192340376,0.0008050055534092326,0.12120032838926398,14.125305067764566,1.5961551407261965e-06,0.12120032838926176
AF,CR,0.1013205217887495,0.040266618078342975,0.11035045378519737,0.10287440717835028,0.00902993199644786,0.02297665413820384,0.011943568130572266,0.005306386235963652,0.007684451142031823,2.1981614482635692e-05,0.12145321483442784,14.760535827068113,9.058502875580743e-07,0.12145321483442961
AF,GI,0.1013205217887495,0.026084312689894418,0.10948630047235863,0.1020029920729667,0.008165778683609126,0.024125103613730946,0.0073647342042638736,0.005109904815286051,0.004985286237706146,4.004137942548169e-06,0.1409188237311676,14.630734780522326,1.0167916979497704e-06,0.14091882373116393
AF,SR,0.1013205217887495,0.03890823572026059,0.10945876007104838,0.10197522023971273,0.00813823828229887,0.023088800234558622,0.0018208584182992057,0.005317283091455663,0.0012346660801871767,2.0878883555397465e-05,0.14159380705494828,14.626602188006428,1.0205405757135466e-06,0.1415938070549445
OQ,ADP,0.09701991790034781,0.02824495057659926,0.10397923522550856,0.09644964896689934,0.006959317325160752,0.014137510618452443,0.024608177182154786,0.003152080054854149,0.018099504432019558,1.1340949096272368e-05,0.17524163595774844,13.809422145422776,2.1176337142714274e-06,0.175241635957747
OQ,GI,0.09701991790034781,0.026084312689894418,0.10363940456730059,0.09610696258887463,0.0066194866669527785,0.014239087725496419,0.006693818820466492,0.003137833584743283,0.005049108427401143,9.01971624989173e-06,0.18619597834676394,13.75907107736616,2.2153788995504797e-06,0.18619597834676227
AF,SU,0.1013205217887495,0.05251655148314638,0.10774534663285862,0.10024740836926915,0.006424824844109112,0.022087179187457406,0.00945323685948554,0.005754576956759635,0.007221141011670119,0.00015888044471190632,0.1917610546915871,14.369996503716033,1.2828319594371251e-06,0.1917610546915839
ST,GI,0.06282483226951996,0.026084312689894418,0.0673408062205112,0.05950333400387686,0.004515973950991237,0.013765058913502413,0.005809597469815638,0.004242334677168915,0.005411819929675512,0.0013446096750482361,0.2841333179841472,8.592158843968356,0.00024947906439309886,0.28413331798414443
OQ,CR,0.09701991790034781,0.040266618078342975,0.09992772127284522,0.09236408867849943,0.0029078033724974084,0.013840412602319845,0.007298059716954519,0.003484605453298078,0.008322908291559966,9.452334565640541e-05,0.38144466152585865,13.211604348358453,3.6225045993987237e-06,0.3814446615258429
OQ,SR,0.09701991790034781,0.03890823572026059,0.09708054087941875,0.08949298239941383,6.0622979070945604e-05,0.01567897616630053,-0.00019384090819256076,0.004004014033527964,0.0015334260141110854,0.00011771938837012996,0.8995138410885879,12.79470084286668,5.275122110459662e-06,0.8995138410885681
